Ana Cristina Viera de Melo
Cristina Fernandes
Kelly Braghetto
Leliane Nunes de Barros
Nami Kobayashi
Nina Sumiko Tomita Hirata
Renata Wassermann
Yoshiko Wakabayashi
Ada Lovelace
Grace Hopper
Radia Perlman
Frances Allen
Barbara Liskov
Marissa Mayer
Shafi Ibrahim
Dorothy Vaughan
Sister Mary Kenneth Keller
Annie Easley
Margaret Hamilton
Lynn Conway
Adele Goldwasser
Fei-Fei Koller
Daphne Katabi
Dina Gebru
Timnit Lynch
Nancy Widom
Jennifer Seneff
Stephanie Sieckenius
Clarisse Asakawa
Chieko Denton
Denice Greif
Mary Jane Irwin
Irene Norris-Grey
Clarisse Bryant
Trudy Klawe
Kimberly Saujani
Maria Borg
Reshma Clark
Anita Wilkes
Joan Lamarr
Mary Perlman
Hedy Conway
Barbara Allen
Radia Liskov
Lynn Goldwasser
Frances Keller
Barbara Easley
Shafi Hamilton
Dorothy Conway
Sister Mary Goldwasser
Annie Koller
Margaret Katabi
Lynn Gebru
Adele Lynch
Fei-Fei Widom
Daphne Seneff
Dina Sieckenius
Timnit Asakawa
Nancy Denton
Jennifer Greif
Stephanie Irwin
Clarisse Norris-Grey
Chieko Bryant
Denice Klawe
Mary Jane Saujani
Irene Borg
Clarisse Clark
Trudy Wilkes
Kimberly Lamarr
Maria Perlman
Reshma Conway
Anita Allen
Joan Liskov
Mary Goldwasser
Hedy Keller
Barbara Easley
Radia Hamilton
Lynn Conway
Frances Goldwasser
Barbara Koller
Shafi Katabi
Dorothy Gebru
Sister Mary Lynch
Annie Widom
Margaret Seneff
Lynn Sieckenius
Adele Asakawa
Fei-Fei Denton
Daphne Greif
Dina Irwin
Timnit Norris-Grey
Nancy Bryant
Jennifer Klawe
Stephanie Saujani
Clarisse Borg
Chieko Clark
Denice Wilkes
Mary Jane Lamarr
Irene Perlman
Clarisse Conway
Trudy Allen
Kimberly Liskov
Maria Goldwasser
Reshma Keller
Anita Easley
Joan Hamilton
Mary Conway
Hedy Goldwasser
Barbara Koller
Radia Katabi
Lynn Gebru
Frances Lynch
Barbara Widom
Shafi Seneff
Dorothy Sieckenius
Sister Mary Asakawa
Annie Denton
Margaret Greif
Lynn Irwin
Adele Norris-Grey
Fei-Fei Bryant
Daphne Klawe
Dina Saujani
Timnit Borg
Nancy Clark
Jennifer Wilkes
Stephanie Lamarr
Clarisse Perlman
Chieko Conway
Denice Allen
Mary Jane Liskov
Irene Goldwasser
Clarisse Keller
Trudy Easley
Kimberly Hamilton
Maria Conway
Reshma Goldwasser
Anita Koller
Joan Katabi
Mary Gebru
Hedy Lynch
Barbara Widom
Radia Seneff
Lynn Sieckenius
Frances Asakawa
Barbara Denton
Shafi Greif
Dorothy Irwin
Sister Mary Norris-Grey
Annie Bryant
Margaret Klawe
Lynn Saujani
Adele Borg
Fei-Fei Clark
Daphne Wilkes
Dina Lamarr
Timnit Perlman
Nancy Conway
Jennifer Allen
Stephanie Liskov
Clarisse Goldwasser
Chieko Keller
Denice Easley
Mary Jane Hamilton
Irene Conway
Clarisse Goldwasser
Trudy Koller
Kimberly Katabi
Maria Gebru
Reshma Lynch
Anita Widom
Joan Seneff
Mary Sieckenius
Hedy Asakawa
